id,rsc29,inversa,inversa a informarnte,captacion
18,"[{""section_id"": ""18"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""19"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",19,19
19,"[{""section_id"": ""19"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""20"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",20,20
20,"[{""section_id"": ""20"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""21"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",21,21
21,"[{""section_id"": ""21"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""22"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",22,22
22,"[{""section_id"": ""22"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""23"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",23,23
23,"[{""section_id"": ""23"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""24"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",24,24
24,"[{""section_id"": ""24"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""25"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",25,25
25,"[{""section_id"": ""25"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""26"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",26,26
26,"[{""section_id"": ""26"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""27"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",27,27
27,"[{""section_id"": ""27"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""28"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",28,28
28,"[{""section_id"": ""28"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""29"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",29,29
29,"[{""section_id"": ""29"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""30"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",30,30
30,"[{""section_id"": ""30"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""31"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",31,31
31,"[{""section_id"": ""31"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""32"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",32,32
32,"[{""section_id"": ""32"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""33"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",33,33
33,"[{""section_id"": ""33"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""34"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",34,34
34,"[{""section_id"": ""34"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""35"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",35,35
35,"[{""section_id"": ""35"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""36"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",36,36
36,"[{""section_id"": ""36"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""37"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",37,37
37,"[{""section_id"": ""37"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""38"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",38,38
38,"[{""section_id"": ""38"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""39"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",39,39
39,"[{""section_id"": ""39"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""40"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",40,40
40,"[{""section_id"": ""40"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""41"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",41,41
41,"[{""section_id"": ""41"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""42"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",42,42
42,"[{""section_id"": ""42"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""43"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",43,43
43,"[{""section_id"": ""43"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""44"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",44,44
44,"[{""section_id"": ""44"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""45"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",45,45
45,"[{""section_id"": ""45"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""46"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",46,46
46,"[{""section_id"": ""46"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""47"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",47,47
47,"[{""section_id"": ""47"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""48"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",48,48
48,"[{""section_id"": ""48"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""49"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",49,49
49,"[{""section_id"": ""49"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""50"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",50,50
50,"[{""section_id"": ""50"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""51"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",51,51
51,"[{""section_id"": ""51"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""52"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",52,52
52,"[{""section_id"": ""52"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""53"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",53,53
53,"[{""section_id"": ""53"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""54"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",54,54
54,"[{""section_id"": ""54"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""55"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",55,55
55,"[{""section_id"": ""55"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""56"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",56,56
56,"[{""section_id"": ""56"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""57"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",57,57
57,"[{""section_id"": ""57"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""58"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",58,58
58,"[{""section_id"": ""58"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""59"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",59,59
59,"[{""section_id"": ""59"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""60"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",60,60
60,"[{""section_id"": ""60"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""61"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",61,61
61,"[{""section_id"": ""61"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""62"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",62,62
62,"[{""section_id"": ""62"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""63"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",63,63
63,"[{""section_id"": ""63"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""64"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",64,64
64,"[{""section_id"": ""64"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""65"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",65,65
65,"[{""section_id"": ""65"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""66"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",66,66
66,"[{""section_id"": ""66"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""67"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",67,67
67,"[{""section_id"": ""67"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""68"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",68,68
68,"[{""section_id"": ""68"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""69"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",69,69
69,"[{""section_id"": ""69"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""70"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",70,70
70,"[{""section_id"": ""70"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""71"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",71,71
71,"[{""section_id"": ""71"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""72"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",72,72
72,"[{""section_id"": ""72"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""73"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",73,73
73,"[{""section_id"": ""73"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""74"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",74,83
74,"[{""section_id"": ""74"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""75"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",75,75
75,"[{""section_id"": ""75"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""76"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",76,76
76,"[{""section_id"": ""76"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""77"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",77,
77,"[{""section_id"": ""77"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""78"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",78,77
78,"[{""section_id"": ""78"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""79"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",79,79
79,"[{""section_id"": ""79"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""80"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",80,80
80,"[{""section_id"": ""80"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""81"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",81,81
81,"[{""section_id"": ""81"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""82"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",82,82
82,"[{""section_id"": ""82"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""83"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",83,84
83,"[{""section_id"": ""83"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""84"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",84,85
84,"[{""section_id"": ""84"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""85"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",85,86
85,"[{""section_id"": ""85"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""86"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",86,87
86,"[{""section_id"": ""86"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""87"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",87,88
87,"[{""section_id"": ""87"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""88"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",88,89
88,"[{""section_id"": ""88"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""89"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",89,90
89,"[{""section_id"": ""89"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""90"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",90,91
90,"[{""section_id"": ""90"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""91"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",91,92
91,"[{""section_id"": ""91"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""92"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",92,93
92,"[{""section_id"": ""92"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""93"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",93,94
93,"[{""section_id"": ""93"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""94"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",94,95
94,"[{""section_id"": ""94"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""95"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",95,96
95,"[{""section_id"": ""95"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""96"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",96,97
96,"[{""section_id"": ""96"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""97"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",97,98
97,"[{""section_id"": ""97"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""98"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",98,99
98,"[{""section_id"": ""98"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""99"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",99,100
99,"[{""section_id"": ""99"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""100"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",100,101
100,"[{""section_id"": ""100"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""101"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",101,102
101,"[{""section_id"": ""101"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""102"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",102,103
102,"[{""section_id"": ""102"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""103"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",103,104
103,"[{""section_id"": ""103"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""104"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",104,105
104,"[{""section_id"": ""104"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""105"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",105,106
105,"[{""section_id"": ""105"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""106"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",106,107
106,"[{""section_id"": ""106"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""107"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",107,108
107,"[{""section_id"": ""107"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""108"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",108,109
108,"[{""section_id"": ""108"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""109"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",109,110
109,"[{""section_id"": ""109"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""110"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",110,111
110,"[{""section_id"": ""110"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""111"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",111,112
111,"[{""section_id"": ""111"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""112"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",112,113
112,"[{""section_id"": ""112"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""113"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",113,114
113,"[{""section_id"": ""113"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""114"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",114,115
114,"[{""section_id"": ""114"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""115"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",115,116
115,"[{""section_id"": ""115"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""116"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",116,117
116,"[{""section_id"": ""116"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""117"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",117,118
117,"[{""section_id"": ""117"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""118"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",118,119
118,"[{""section_id"": ""118"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""119"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",119,120
119,"[{""section_id"": ""119"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""120"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",120,121
120,"[{""section_id"": ""120"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""121"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",121,122
121,"[{""section_id"": ""121"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""122"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",122,123
122,"[{""section_id"": ""122"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""123"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",123,124
123,"[{""section_id"": ""123"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""124"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",124,125
124,"[{""section_id"": ""124"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""125"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",125,126
125,"[{""section_id"": ""125"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""126"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",126,127
126,"[{""section_id"": ""126"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""128"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",128,128
127,"[{""section_id"": ""127"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""129"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",129,129
128,"[{""section_id"": ""128"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""130"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",130,130
129,"[{""section_id"": ""129"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""131"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",131,131
130,"[{""section_id"": ""130"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""132"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",132,132
131,"[{""section_id"": ""131"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""133"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",133,133
132,"[{""section_id"": ""132"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""134"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",134,134
133,"[{""section_id"": ""133"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""135"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",135,135
134,"[{""section_id"": ""134"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""136"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",136,136
135,"[{""section_id"": ""135"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""137"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",137,137
136,"[{""section_id"": ""136"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""138"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",138,138
137,"[{""section_id"": ""137"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""139"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",139,139
138,"[{""section_id"": ""138"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""140"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",140,140
