section_id;hierarchy5;hierarchy6;hierarchy7;hierarchy9;hierarchy8;hierarchy109;hierarchy54;dd200;dd199;dd197;dd201
11;"{""lg-eng"":[""Argentina""],""lg-spa"":[""Argentina""],""lg-cat"":[""Argentina""]}";"{""lg-nolan"":[""AR""]}";"{""lg-nolan"":[""ARG""]}";"[{""type"":""dd151"",""section_id"":""2"",""section_tipo"":""hierarchy13"",""from_component_tipo"":""hierarchy9""}]";"[{""type"":""dd151"",""section_id"":""17344"",""section_tipo"":""lg1"",""from_component_tipo"":""hierarchy8""}]";"{""lg-nolan"":[""hierarchy20""]}";"[{""type"":""dd675"",""section_id"":""1"",""section_tipo"":""dd153"",""from_component_tipo"":""hierarchy54""}]";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd200""}]";"{""lg-nolan"":[{""start"":{""day"":6,""hour"":9,""time"":64817747593,""year"":2016,""month"":9,""minute"":53,""second"":13}}]}";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd197""}]";"{""lg-nolan"":[{""start"":{""day"":8,""hour"":11,""time"":64983985654,""year"":2021,""month"":11,""minute"":7,""second"":34}}]}"
12;"{""lg-eng"":[""Armenia""],""lg-spa"":[""Armenia""],""lg-cat"":[""Armènia""]}";"{""lg-nolan"":[""AM""]}";"{""lg-nolan"":[""ARM""]}";"[{""type"":""dd151"",""section_id"":""2"",""section_tipo"":""hierarchy13"",""from_component_tipo"":""hierarchy9""}]";"[{""type"":""dd151"",""section_id"":""5101"",""section_tipo"":""lg1"",""from_component_tipo"":""hierarchy8""}]";"{""lg-nolan"":[""hierarchy20""]}";"[{""type"":""dd675"",""section_id"":""1"",""section_tipo"":""dd153"",""from_component_tipo"":""hierarchy54""}]";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd200""}]";"{""lg-nolan"":[{""start"":{""day"":6,""hour"":9,""time"":64817747593,""year"":2016,""month"":9,""minute"":53,""second"":13}}]}";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd197""}]";"{""lg-nolan"":[{""start"":{""day"":8,""hour"":11,""time"":64983985601,""year"":2021,""month"":11,""minute"":6,""second"":41}}]}"
13;"{""lg-eng"":[""Aruba""],""lg-spa"":[""Aruba""],""lg-cat"":[""Aruba""]}";"{""lg-nolan"":[""AW""]}";"{""lg-nolan"":[""ABW""]}";"[{""type"":""dd151"",""section_id"":""2"",""section_tipo"":""hierarchy13"",""from_component_tipo"":""hierarchy9""}]";"[{""type"":""dd151"",""section_id"":""5101"",""section_tipo"":""lg1"",""from_component_tipo"":""hierarchy8""}]";"{""lg-nolan"":[""hierarchy20""]}";"[{""type"":""dd675"",""section_id"":""1"",""section_tipo"":""dd153"",""from_component_tipo"":""hierarchy54""}]";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd200""}]";"{""lg-nolan"":[{""start"":{""day"":6,""hour"":9,""time"":64817747593,""year"":2016,""month"":9,""minute"":53,""second"":13}}]}";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd197""}]";"{""lg-nolan"":[{""start"":{""day"":8,""hour"":11,""time"":64983985654,""year"":2021,""month"":11,""minute"":7,""second"":34}}]}"
14;"{""lg-eng"":[""Australia""],""lg-spa"":[""Australia""],""lg-cat"":[""Austràlia""]}";"{""lg-nolan"":[""AU""]}";"{""lg-nolan"":[""AUS""]}";"[{""type"":""dd151"",""section_id"":""2"",""section_tipo"":""hierarchy13"",""from_component_tipo"":""hierarchy9""}]";"[{""type"":""dd151"",""section_id"":""5101"",""section_tipo"":""lg1"",""from_component_tipo"":""hierarchy8""}]";"{""lg-nolan"":[""hierarchy20""]}";"[{""type"":""dd675"",""section_id"":""1"",""section_tipo"":""dd153"",""from_component_tipo"":""hierarchy54""}]";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd200""}]";"{""lg-nolan"":[{""start"":{""day"":6,""hour"":9,""time"":64817747593,""year"":2016,""month"":9,""minute"":53,""second"":13}}]}";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd197""}]";"{""lg-nolan"":[{""start"":{""day"":8,""hour"":11,""time"":64983985654,""year"":2021,""month"":11,""minute"":7,""second"":34}}]}"
15;"{""lg-eng"":[""Austria""],""lg-spa"":[""Austria""],""lg-cat"":[""Àustria""]}";"{""lg-nolan"":[""AT""]}";"{""lg-nolan"":[""AUT""]}";"[{""type"":""dd151"",""section_id"":""2"",""section_tipo"":""hierarchy13"",""from_component_tipo"":""hierarchy9""}]";"[{""type"":""dd151"",""section_id"":""5101"",""section_tipo"":""lg1"",""from_component_tipo"":""hierarchy8""}]";"{""lg-nolan"":[""hierarchy20""]}";"[{""type"":""dd675"",""section_id"":""1"",""section_tipo"":""dd153"",""from_component_tipo"":""hierarchy54""}]";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd200""}]";"{""lg-nolan"":[{""start"":{""day"":6,""hour"":9,""time"":64817747593,""year"":2016,""month"":9,""minute"":53,""second"":13}}]}";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd197""}]";"{""lg-nolan"":[{""start"":{""day"":8,""hour"":11,""time"":64983985654,""year"":2021,""month"":11,""minute"":7,""second"":34}}]}"
16;"{""lg-eng"":[""Azerbaijan""],""lg-spa"":[""Azerbaiyán""],""lg-cat"":[""Azerbaidjan""]}";"{""lg-nolan"":[""AZ""]}";"{""lg-nolan"":[""AZE""]}";"[{""type"":""dd151"",""section_id"":""2"",""section_tipo"":""hierarchy13"",""from_component_tipo"":""hierarchy9""}]";"[{""type"":""dd151"",""section_id"":""5101"",""section_tipo"":""lg1"",""from_component_tipo"":""hierarchy8""}]";"{""lg-nolan"":[""hierarchy20""]}";"[{""type"":""dd675"",""section_id"":""1"",""section_tipo"":""dd153"",""from_component_tipo"":""hierarchy54""}]";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd200""}]";"{""lg-nolan"":[{""start"":{""day"":6,""hour"":9,""time"":64817747593,""year"":2016,""month"":9,""minute"":53,""second"":13}}]}";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd197""}]";"{""lg-nolan"":[{""start"":{""day"":8,""hour"":11,""time"":64983985655,""year"":2021,""month"":11,""minute"":7,""second"":35}}]}"
17;"{""lg-eng"":[""Bahamas""],""lg-spa"":[""Bahamas""],""lg-cat"":[""Bahames""]}";"{""lg-nolan"":[""BS""]}";"{""lg-nolan"":[""BHS""]}";"[{""type"":""dd151"",""section_id"":""2"",""section_tipo"":""hierarchy13"",""from_component_tipo"":""hierarchy9""}]";"[{""type"":""dd151"",""section_id"":""5101"",""section_tipo"":""lg1"",""from_component_tipo"":""hierarchy8""}]";"{""lg-nolan"":[""hierarchy20""]}";"[{""type"":""dd675"",""section_id"":""1"",""section_tipo"":""dd153"",""from_component_tipo"":""hierarchy54""}]";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd200""}]";"{""lg-nolan"":[{""start"":{""day"":6,""hour"":9,""time"":64817747594,""year"":2016,""month"":9,""minute"":53,""second"":14}}]}";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd197""}]";"{""lg-nolan"":[{""start"":{""day"":8,""hour"":11,""time"":64983985655,""year"":2021,""month"":11,""minute"":7,""second"":35}}]}"
18;"{""lg-eng"":[""Bahrain""],""lg-spa"":[""Bahréin""],""lg-cat"":[""Bahrain""]}";"{""lg-nolan"":[""BH""]}";"{""lg-nolan"":[""BHR""]}";"[{""type"":""dd151"",""section_id"":""2"",""section_tipo"":""hierarchy13"",""from_component_tipo"":""hierarchy9""}]";"[{""type"":""dd151"",""section_id"":""5101"",""section_tipo"":""lg1"",""from_component_tipo"":""hierarchy8""}]";"{""lg-nolan"":[""hierarchy20""]}";"[{""type"":""dd675"",""section_id"":""1"",""section_tipo"":""dd153"",""from_component_tipo"":""hierarchy54""}]";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd200""}]";"{""lg-nolan"":[{""start"":{""day"":6,""hour"":9,""time"":64817747593,""year"":2016,""month"":9,""minute"":53,""second"":13}}]}";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd197""}]";"{""lg-nolan"":[{""start"":{""day"":8,""hour"":11,""time"":64983985655,""year"":2021,""month"":11,""minute"":7,""second"":35}}]}"
19;"{""lg-eng"":[""Bangladesh""],""lg-spa"":[""Bangladesh""],""lg-cat"":[""Bangladesh""]}";"{""lg-nolan"":[""BD""]}";"{""lg-nolan"":[""BGD""]}";"[{""type"":""dd151"",""section_id"":""2"",""section_tipo"":""hierarchy13"",""from_component_tipo"":""hierarchy9""}]";"[{""type"":""dd151"",""section_id"":""5101"",""section_tipo"":""lg1"",""from_component_tipo"":""hierarchy8""}]";"{""lg-nolan"":[""hierarchy20""]}";"[{""type"":""dd675"",""section_id"":""1"",""section_tipo"":""dd153"",""from_component_tipo"":""hierarchy54""}]";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd200""}]";"{""lg-nolan"":[{""start"":{""day"":6,""hour"":9,""time"":64817747593,""year"":2016,""month"":9,""minute"":53,""second"":13}}]}";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd197""}]";"{""lg-nolan"":[{""start"":{""day"":8,""hour"":11,""time"":64983985655,""year"":2021,""month"":11,""minute"":7,""second"":35}}]}"
20;"{""lg-eng"":[""Barbados""],""lg-spa"":[""Barbados""],""lg-cat"":[""Barbados""]}";"{""lg-nolan"":[""BB""]}";"{""lg-nolan"":[""BRB""]}";"[{""type"":""dd151"",""section_id"":""2"",""section_tipo"":""hierarchy13"",""from_component_tipo"":""hierarchy9""}]";"[{""type"":""dd151"",""section_id"":""5101"",""section_tipo"":""lg1"",""from_component_tipo"":""hierarchy8""}]";"{""lg-nolan"":[""hierarchy20""]}";"[{""type"":""dd675"",""section_id"":""1"",""section_tipo"":""dd153"",""from_component_tipo"":""hierarchy54""}]";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd200""}]";"{""lg-nolan"":[{""start"":{""day"":6,""hour"":9,""time"":64817747593,""year"":2016,""month"":9,""minute"":53,""second"":13}}]}";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd197""}]";"{""lg-nolan"":[{""start"":{""day"":8,""hour"":11,""time"":64983985655,""year"":2021,""month"":11,""minute"":7,""second"":35}}]}"
21;"{""lg-eng"":[""Belarus""],""lg-spa"":[""Bielorrusia""]}";"{""lg-nolan"":[""BY""]}";"{""lg-nolan"":[""BLR""]}";"[{""type"":""dd151"",""section_id"":""2"",""section_tipo"":""hierarchy13"",""from_component_tipo"":""hierarchy9""}]";"[{""type"":""dd151"",""section_id"":""5101"",""section_tipo"":""lg1"",""from_component_tipo"":""hierarchy8""}]";"{""lg-nolan"":[""hierarchy20""]}";"[{""type"":""dd675"",""section_id"":""1"",""section_tipo"":""dd153"",""from_component_tipo"":""hierarchy54""}]";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd200""}]";"{""lg-nolan"":[{""start"":{""day"":6,""hour"":9,""time"":64817747594,""year"":2016,""month"":9,""minute"":53,""second"":14}}]}";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd197""}]";"{""lg-nolan"":[{""start"":{""day"":8,""hour"":11,""time"":64983985655,""year"":2021,""month"":11,""minute"":7,""second"":35}}]}"
22;"{""lg-eng"":[""Belgium""],""lg-spa"":[""Bélgica""],""lg-cat"":[""Bèlgica""]}";"{""lg-nolan"":[""BE""]}";"{""lg-nolan"":[""BEL""]}";"[{""type"":""dd151"",""section_id"":""2"",""section_tipo"":""hierarchy13"",""from_component_tipo"":""hierarchy9""}]";"[{""type"":""dd151"",""section_id"":""5101"",""section_tipo"":""lg1"",""from_component_tipo"":""hierarchy8""}]";"{""lg-nolan"":[""hierarchy20""]}";"[{""type"":""dd675"",""section_id"":""1"",""section_tipo"":""dd153"",""from_component_tipo"":""hierarchy54""}]";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd200""}]";"{""lg-nolan"":[{""start"":{""day"":6,""hour"":9,""time"":64817747593,""year"":2016,""month"":9,""minute"":53,""second"":13}}]}";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd197""}]";"{""lg-nolan"":[{""start"":{""day"":8,""hour"":11,""time"":64983985655,""year"":2021,""month"":11,""minute"":7,""second"":35}}]}"
23;"{""lg-eng"":[""Belize""],""lg-spa"":[""Belice""],""lg-cat"":[""Belize""]}";"{""lg-nolan"":[""BZ""]}";"{""lg-nolan"":[""BLZ""]}";"[{""type"":""dd151"",""section_id"":""2"",""section_tipo"":""hierarchy13"",""from_component_tipo"":""hierarchy9""}]";"[{""type"":""dd151"",""section_id"":""5101"",""section_tipo"":""lg1"",""from_component_tipo"":""hierarchy8""}]";"{""lg-nolan"":[""hierarchy20""]}";"[{""type"":""dd675"",""section_id"":""1"",""section_tipo"":""dd153"",""from_component_tipo"":""hierarchy54""}]";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd200""}]";"{""lg-nolan"":[{""start"":{""day"":6,""hour"":9,""time"":64817747594,""year"":2016,""month"":9,""minute"":53,""second"":14}}]}";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd197""}]";"{""lg-nolan"":[{""start"":{""day"":8,""hour"":11,""time"":64983985655,""year"":2021,""month"":11,""minute"":7,""second"":35}}]}"
24;"{""lg-eng"":[""Benin""],""lg-spa"":[""Benín""],""lg-cat"":[""Benín""]}";"{""lg-nolan"":[""BJ""]}";"{""lg-nolan"":[""BEN""]}";"[{""type"":""dd151"",""section_id"":""2"",""section_tipo"":""hierarchy13"",""from_component_tipo"":""hierarchy9""}]";"[{""type"":""dd151"",""section_id"":""5101"",""section_tipo"":""lg1"",""from_component_tipo"":""hierarchy8""}]";"{""lg-nolan"":[""hierarchy20""]}";"[{""type"":""dd675"",""section_id"":""1"",""section_tipo"":""dd153"",""from_component_tipo"":""hierarchy54""}]";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd200""}]";"{""lg-nolan"":[{""start"":{""day"":6,""hour"":9,""time"":64817747593,""year"":2016,""month"":9,""minute"":53,""second"":13}}]}";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd197""}]";"{""lg-nolan"":[{""start"":{""day"":8,""hour"":11,""time"":64983985655,""year"":2021,""month"":11,""minute"":7,""second"":35}}]}"
25;"{""lg-eng"":[""Bermuda""],""lg-spa"":[""Bermudas""],""lg-cat"":[""Bermudes""]}";"{""lg-nolan"":[""BM""]}";"{""lg-nolan"":[""BMU""]}";"[{""type"":""dd151"",""section_id"":""2"",""section_tipo"":""hierarchy13"",""from_component_tipo"":""hierarchy9""}]";"[{""type"":""dd151"",""section_id"":""5101"",""section_tipo"":""lg1"",""from_component_tipo"":""hierarchy8""}]";"{""lg-nolan"":[""hierarchy20""]}";"[{""type"":""dd675"",""section_id"":""1"",""section_tipo"":""dd153"",""from_component_tipo"":""hierarchy54""}]";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd200""}]";"{""lg-nolan"":[{""start"":{""day"":6,""hour"":9,""time"":64817747593,""year"":2016,""month"":9,""minute"":53,""second"":13}}]}";"[{""type"":""dd151"",""section_id"":""-1"",""section_tipo"":""dd128"",""from_component_tipo"":""dd197""}]";"{""lg-nolan"":[{""start"":{""day"":8,""hour"":11,""time"":64983985655,""year"":2021,""month"":11,""minute"":7,""second"":35}}]}"
